월,대분류,중분류,불만유형,채널,건수
2022-01,가구,기타가구,AS불만,기타(오프라인 등),7
2022-01,가구,기타가구,AS불만,온라인,1
2022-01,가구,기타가구,가격.요금,온라인,1
2022-01,가구,기타가구,거래관행,기타(오프라인 등),2
2022-01,가구,기타가구,거래관행,온라인,2
2022-01,가구,기타가구,계약불이행(불완전이행),기타(오프라인 등),17
2022-01,가구,기타가구,계약불이행(불완전이행),온라인,14
2022-01,가구,기타가구,계약해제.해지/위약금,기타(오프라인 등),36
2022-01,가구,기타가구,계약해제.해지/위약금,온라인,14
2022-01,가구,기타가구,단순문의.상담,기타(오프라인 등),11
2022-01,가구,기타가구,단순문의.상담,온라인,1
2022-01,가구,기타가구,미상,기타(오프라인 등),1
2022-01,가구,기타가구,미상,온라인,7
2022-01,가구,기타가구,법.제도,기타(오프라인 등),1
2022-01,가구,기타가구,부당행위,기타(오프라인 등),1
2022-01,가구,기타가구,부당행위,온라인,1
2022-01,가구,기타가구,안전(제품/시설),온라인,1
2022-01,가구,기타가구,약관,기타(오프라인 등),1
2022-01,가구,기타가구,이자.수수료,온라인,2
2022-01,가구,기타가구,청약철회,기타(오프라인 등),5
2022-01,가구,기타가구,청약철회,온라인,21
2022-01,가구,기타가구,표시.광고,기타(오프라인 등),3
2022-01,가구,기타가구,표시.광고,온라인,6
2022-01,가구,기타가구,품질(물품/용역),기타(오프라인 등),19
2022-01,가구,기타가구,품질(물품/용역),온라인,18
2022-01,가구,세트가구류,AS불만,기타(오프라인 등),4
2022-01,가구,세트가구류,AS불만,온라인,1
2022-01,가구,세트가구류,계약불이행(불완전이행),기타(오프라인 등),9
2022-01,가구,세트가구류,계약불이행(불완전이행),온라인,5
2022-01,가구,세트가구류,계약해제.해지/위약금,기타(오프라인 등),29
2022-01,가구,세트가구류,계약해제.해지/위약금,온라인,5
2022-01,가구,세트가구류,단순문의.상담,기타(오프라인 등),3
2022-01,가구,세트가구류,단순문의.상담,온라인,2
2022-01,가구,세트가구류,미상,기타(오프라인 등),2
2022-01,가구,세트가구류,미상,온라인,1
2022-01,가구,세트가구류,부당행위,온라인,1
2022-01,가구,세트가구류,청약철회,기타(오프라인 등),2
2022-01,가구,세트가구류,청약철회,온라인,6
2022-01,가구,세트가구류,표시.광고,온라인,2
2022-01,가구,세트가구류,품질(물품/용역),기타(오프라인 등),9
2022-01,가구,세트가구류,품질(물품/용역),온라인,8
2022-01,가구,의자류,AS불만,기타(오프라인 등),26
2022-01,가구,의자류,AS불만,온라인,9
2022-01,가구,의자류,가격.요금,기타(오프라인 등),1
2022-01,가구,의자류,가격.요금,온라인,8
2022-01,가구,의자류,거래관행,온라인,1
2022-01,가구,의자류,계약불이행(불완전이행),기타(오프라인 등),26
2022-01,가구,의자류,계약불이행(불완전이행),온라인,23
2022-01,가구,의자류,계약해제.해지/위약금,기타(오프라인 등),50
2022-01,가구,의자류,계약해제.해지/위약금,온라인,14
2022-01,가구,의자류,단순문의.상담,기타(오프라인 등),4
2022-01,가구,의자류,단순문의.상담,온라인,1
2022-01,가구,의자류,미상,기타(오프라인 등),10
2022-01,가구,의자류,미상,온라인,12
2022-01,가구,의자류,부당행위,기타(오프라인 등),2
2022-01,가구,의자류,부당행위,온라인,2
2022-01,가구,의자류,안전(제품/시설),온라인,3
2022-01,가구,의자류,약관,기타(오프라인 등),4
2022-01,가구,의자류,청약철회,기타(오프라인 등),8
2022-01,가구,의자류,청약철회,온라인,26
2022-01,가구,의자류,표시.광고,기타(오프라인 등),6
2022-01,가구,의자류,표시.광고,온라인,3
2022-01,가구,의자류,품질(물품/용역),기타(오프라인 등),61
2022-01,가구,의자류,품질(물품/용역),온라인,60
2022-01,가구,장롱류,AS불만,기타(오프라인 등),3
2022-01,가구,장롱류,AS불만,온라인,1
2022-01,가구,장롱류,가격.요금,기타(오프라인 등),1
2022-01,가구,장롱류,가격.요금,온라인,2
2022-01,가구,장롱류,거래관행,온라인,1
2022-01,가구,장롱류,계약불이행(불완전이행),기타(오프라인 등),7
2022-01,가구,장롱류,계약불이행(불완전이행),온라인,12
2022-01,가구,장롱류,계약해제.해지/위약금,기타(오프라인 등),9
2022-01,가구,장롱류,계약해제.해지/위약금,온라인,11
2022-01,가구,장롱류,단순문의.상담,기타(오프라인 등),2
2022-01,가구,장롱류,미상,기타(오프라인 등),4
