대분류,중분류,불만유형,지역,건수
가구,가구리폼·수리업,AS불만,경기도,9
가구,가구리폼·수리업,AS불만,경상남도,1
가구,가구리폼·수리업,AS불만,경상북도,1
가구,가구리폼·수리업,AS불만,광주광역시,1
가구,가구리폼·수리업,AS불만,대전광역시,1
가구,가구리폼·수리업,AS불만,부산광역시,1
가구,가구리폼·수리업,AS불만,서울특별시,5
가구,가구리폼·수리업,AS불만,인천광역시,1
가구,가구리폼·수리업,AS불만,전라남도,2
가구,가구리폼·수리업,AS불만,전북특별자치도,1
가구,가구리폼·수리업,AS불만,충청남도,2
가구,가구리폼·수리업,가격.요금,경기도,3
가구,가구리폼·수리업,가격.요금,경상남도,1
가구,가구리폼·수리업,가격.요금,부산광역시,2
가구,가구리폼·수리업,가격.요금,서울특별시,3
가구,가구리폼·수리업,가격.요금,울산광역시,1
가구,가구리폼·수리업,가격.요금,인천광역시,1
가구,가구리폼·수리업,계약불이행(불완전이행),강원도,2
가구,가구리폼·수리업,계약불이행(불완전이행),경기도,13
가구,가구리폼·수리업,계약불이행(불완전이행),경상남도,2
가구,가구리폼·수리업,계약불이행(불완전이행),경상북도,1
가구,가구리폼·수리업,계약불이행(불완전이행),광주광역시,1
가구,가구리폼·수리업,계약불이행(불완전이행),대구광역시,3
가구,가구리폼·수리업,계약불이행(불완전이행),대전광역시,1
가구,가구리폼·수리업,계약불이행(불완전이행),부산광역시,2
가구,가구리폼·수리업,계약불이행(불완전이행),서울특별시,9
가구,가구리폼·수리업,계약불이행(불완전이행),세종특별자치시,1
가구,가구리폼·수리업,계약불이행(불완전이행),인천광역시,2
가구,가구리폼·수리업,계약불이행(불완전이행),제주특별자치도,1
가구,가구리폼·수리업,계약불이행(불완전이행),충청남도,2
가구,가구리폼·수리업,계약불이행(불완전이행),해외 및 기타,1
가구,가구리폼·수리업,계약해제.해지/위약금,강원도,2
가구,가구리폼·수리업,계약해제.해지/위약금,경기도,8
가구,가구리폼·수리업,계약해제.해지/위약금,경상북도,2
가구,가구리폼·수리업,계약해제.해지/위약금,광주광역시,2
가구,가구리폼·수리업,계약해제.해지/위약금,부산광역시,1
가구,가구리폼·수리업,계약해제.해지/위약금,서울특별시,8
가구,가구리폼·수리업,계약해제.해지/위약금,세종특별자치시,1
가구,가구리폼·수리업,계약해제.해지/위약금,인천광역시,1
가구,가구리폼·수리업,계약해제.해지/위약금,전라남도,1
가구,가구리폼·수리업,계약해제.해지/위약금,충청남도,1
가구,가구리폼·수리업,계약해제.해지/위약금,충청북도,1
가구,가구리폼·수리업,계약해제.해지/위약금,해외 및 기타,1
가구,가구리폼·수리업,단순문의.상담,경기도,4
가구,가구리폼·수리업,단순문의.상담,광주광역시,1
가구,가구리폼·수리업,단순문의.상담,대전광역시,1
가구,가구리폼·수리업,단순문의.상담,서울특별시,4
가구,가구리폼·수리업,단순문의.상담,인천광역시,2
