기준월,토픽ID,토픽명,제목,날짜,URL
2021-08,토픽0,정치권 재난·위기 재정대응,"이재명 ""정책은 타이밍 소상공인 손실보상금 조기 지급해야""",2021-08-26,https://www.asiae.co.kr/article/2021082607261239675
2021-08,토픽0,정치권 재난·위기 재정대응,국정개혁 집착 vs 총력저지 투쟁 극한갈등 치닫는 여야,2021-08-25,https://www.asiae.co.kr/article/2021082510484333941
2021-08,토픽0,정치권 재난·위기 재정대응,"제이준코스메틱, 뉴트로 감성 ‘말표’ 콜라보레이션 마스크팩 출시",2021-08-25,https://www.asiae.co.kr/article/2021082510381858232
2021-08,토픽0,정치권 재난·위기 재정대응,"국민의힘 비전토론회, 윤희숙 빠지고 윤석열 참여 ""조국도, 추미애도 없다""",2021-08-25,https://www.asiae.co.kr/article/2021082509551226517
2021-08,토픽0,정치권 재난·위기 재정대응,"文 ""아프간인 종합적 지원 대책 마련 카불 공항 테러, 깊은 위로""(종합)",2021-08-30,https://www.asiae.co.kr/article/2021083015015743776
2021-08,토픽1,은행·금융권 소상공인 지원,"中企 10곳 중 8곳 ""대출만기 이자상황유예 추가 연장해야""",2021-08-26,https://www.asiae.co.kr/article/2021082610261929275
2021-08,토픽1,은행·금융권 소상공인 지원,"경기도, '소상공인 코로나19 극복통장' 최대 2천만 원 지원",2021-08-25,https://www.asiae.co.kr/article/2021082507280116491
2021-08,토픽1,은행·금융권 소상공인 지원,"동대문구, 중소기업 소상공인 대상 50억 규모 긴급대출",2021-08-23,https://www.asiae.co.kr/article/2021082321564613809
2021-08,토픽1,은행·금융권 소상공인 지원,은행 LCR 완화 재연장 or 종료 변수된 금리인상,2021-08-31,https://www.asiae.co.kr/article/2021083109012331633
2021-08,토픽1,은행·금융권 소상공인 지원,은행 LCR 완화 재연장 기로에 변수는 금리인상(종합),2021-08-31,https://www.asiae.co.kr/article/2021083115022960278
2021-08,토픽2,코로나 방역·지자체 행정,[2022예산안]文정부 내내 확장재정 국민 1인당 빚 2000만원 넘어섰다,2021-08-31,https://www.asiae.co.kr/article/2021083110362999327
2021-08,토픽2,코로나 방역·지자체 행정,"영광군, 내달 5일까지 ‘거리두기 3단계’ 연장",2021-08-23,https://www.asiae.co.kr/article/2021082314035989901
