기준월,토픽ID,토픽명,비중(%),문서수
2021-08,토픽0,정치권 재난·위기 재정대응,12.7,125
2021-08,토픽1,은행·금융권 소상공인 지원,12.1,125
2021-08,토픽2,코로나 방역·지자체 행정,17.4,125
2021-08,토픽3,최저임금·노사 협상,6.7,125
2021-08,토픽4,지역화폐·소비쿠폰,14.4,125
2021-08,토픽5,물가·민생 거시대책,11.3,125
2021-08,토픽6,온라인 플랫폼·디지털 지원,11.0,125
2021-08,토픽7,상생협력·중소기업 지원,14.5,125
2021-09,토픽0,정치권 재난·위기 재정대응,12.9,405
2021-09,토픽1,은행·금융권 소상공인 지원,14.4,405
2021-09,토픽2,코로나 방역·지자체 행정,13.5,405
2021-09,토픽3,최저임금·노사 협상,9.5,405
2021-09,토픽4,지역화폐·소비쿠폰,16.2,405
2021-09,토픽5,물가·민생 거시대책,8.4,405
2021-09,토픽6,온라인 플랫폼·디지털 지원,13.4,405
2021-09,토픽7,상생협력·중소기업 지원,11.8,405
2021-10,토픽0,정치권 재난·위기 재정대응,16.5,320
2021-10,토픽1,은행·금융권 소상공인 지원,12.9,320
2021-10,토픽2,코로나 방역·지자체 행정,15.9,320
2021-10,토픽3,최저임금·노사 협상,9.4,320
2021-10,토픽4,지역화폐·소비쿠폰,13.3,320
2021-10,토픽5,물가·민생 거시대책,8.1,320
2021-10,토픽6,온라인 플랫폼·디지털 지원,11.8,320
2021-10,토픽7,상생협력·중소기업 지원,12.0,320
2021-11,토픽0,정치권 재난·위기 재정대응,18.9,350
2021-11,토픽1,은행·금융권 소상공인 지원,7.1,350
2021-11,토픽2,코로나 방역·지자체 행정,18.0,350
2021-11,토픽3,최저임금·노사 협상,7.1,350
2021-11,토픽4,지역화폐·소비쿠폰,12.6,350
2021-11,토픽5,물가·민생 거시대책,6.9,350
2021-11,토픽6,온라인 플랫폼·디지털 지원,13.8,350
2021-11,토픽7,상생협력·중소기업 지원,15.8,350
2021-12,토픽0,정치권 재난·위기 재정대응,18.9,467
2021-12,토픽1,은행·금융권 소상공인 지원,9.5,467
2021-12,토픽2,코로나 방역·지자체 행정,22.5,467
2021-12,토픽3,최저임금·노사 협상,9.5,467
2021-12,토픽4,지역화폐·소비쿠폰,9.5,467
2021-12,토픽5,물가·민생 거시대책,9.2,467
2021-12,토픽6,온라인 플랫폼·디지털 지원,9.5,467
2021-12,토픽7,상생협력·중소기업 지원,11.3,467
2022-01,토픽0,정치권 재난·위기 재정대응,18.8,446
2022-01,토픽1,은행·금융권 소상공인 지원,11.7,446
2022-01,토픽2,코로나 방역·지자체 행정,20.7,446
2022-01,토픽3,최저임금·노사 협상,8.7,446
2022-01,토픽4,지역화폐·소비쿠폰,14.1,446
2022-01,토픽5,물가·민생 거시대책,8.6,446
2022-01,토픽6,온라인 플랫폼·디지털 지원,9.0,446
2022-01,토픽7,상생협력·중소기업 지원,8.4,446
2022-02,토픽0,정치권 재난·위기 재정대응,26.5,384
2022-02,토픽1,은행·금융권 소상공인 지원,14.0,384
2022-02,토픽2,코로나 방역·지자체 행정,17.3,384
2022-02,토픽3,최저임금·노사 협상,9.2,384
2022-02,토픽4,지역화폐·소비쿠폰,11.6,384
2022-02,토픽5,물가·민생 거시대책,6.4,384
2022-02,토픽6,온라인 플랫폼·디지털 지원,7.2,384
2022-02,토픽7,상생협력·중소기업 지원,7.8,384
2022-03,토픽0,정치권 재난·위기 재정대응,15.6,341
2022-03,토픽1,은행·금융권 소상공인 지원,12.2,341
2022-03,토픽2,코로나 방역·지자체 행정,21.2,341
2022-03,토픽3,최저임금·노사 협상,9.6,341
2022-03,토픽4,지역화폐·소비쿠폰,13.7,341
2022-03,토픽5,물가·민생 거시대책,8.2,341
2022-03,토픽6,온라인 플랫폼·디지털 지원,8.7,341
2022-03,토픽7,상생협력·중소기업 지원,10.7,341
2022-04,토픽0,정치권 재난·위기 재정대응,13.8,280
